matchup,page,date,content_type,collection,record_id,status,confidence,reason
Littlemore Asylum v St Barnabas,199,18950914,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:normalized)
St Paul's v Headington Quarry,199,18950914,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:normalized; t2:direct)
Star Second XI v Headington United Second XI,199,18950914,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:contracted; t2:contracted)
Victoria Second XI v Boulter-street Institute,199,18950914,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:partial (2/2); t2:direct)
Thame batting averages,200,18950000,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Thame'; 'batting'; 'averages']
Thame bowling averages,200,18950000,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Thame'; 'bowling'; 'averages']
Shropshire Club v Shrewsbury School,202,18950729,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
J Thomas's XI v Rev T J Rees's Team,203,18950807,match information,Tony Webb minor counties collection,,VERIFIED,0.6,Team 2 verified; Team 1 partial
Fuzz-Bellers v Leek,204,18950601,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Porthill Park Second XI v Caverswall,205,18950601,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:partial (3/3); t2:direct)
Silverdale v Unknown Team,205,18950607,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:partial (1/2))
Staffordshire v Hampshire,205,18950000,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Lawton Park match list,205,18950608,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Lawton'; 'Park'; 'match'; 'list']
Alexandra Club financial report,206,18950600,organisation information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Alexandra'; 'Club'; 'financial'; 'report']
Riley bowling performance,206,18950600,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Riley'; 'bowling'; 'performance']
League Second Division,207,18950608,league information,Tony Webb minor counties collection,,VERIFIED,0.7,League table structure found
Central Co-Operative Club v Wilmslow League,207,18950601,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:partial (2/2))
Guilds Reddish v Macclesfield,207,18950601,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Bollington 2nd XI v Macclesfield 2nd XI,209,18950608,match information,Tony Webb minor counties collection,,INVALID,0.2,Neither team found
Buxton College Second XI v Macclesfield 2nd XI,209,18950612,match information,Tony Webb minor counties collection,,VERIFIED,0.6,Team 1 verified; Team 2 partial
Burslem Boys Cricket League batting statistics,209,18950615,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Burslem'; 'Boys'; 'Cricket'; 'League']
Burslem Boys Cricket League bowling statistics,209,18950615,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Burslem'; 'Boys'; 'Cricket'; 'League']
Clough Hall Thursday Team v Crewe Post-Office,211,18950613,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:partial (4/4); t2:direct)
Leek Club v Stoke Club,211,18950608,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:partial (2/2))
Silverdale Second XI v Tunstall Mission,211,18950614,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:partial (2/2); t2:direct)
North Staffordshire and District League 1st Division standings,212,18950608,league information,Tony Webb minor counties collection,,INVALID,0.3,Could not verify in source
North Staffordshire and District League 2nd Division standings,212,18950608,league information,Tony Webb minor counties collection,,INVALID,0.3,Could not verify in source
Bignall End League Team v Audley Football Team,212,18950610,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:partial (3/3); t2:direct)
Church Club v Audley,214,18950727,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Signal End v Chell Hall,214,18950727,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
North Staffordshire and District Cricket League team aggregates,214,18950803,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['North'; 'Staffordshire'; 'and'; 'District']
County Championship table,227,18950830,league information,Tony Webb minor counties collection,,VERIFIED,0.7,League table structure found
Bradford v Deckington,227,18950831,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Derbyshire team aggregates,227,18950800,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Derbyshire'; 'team']
Essex team aggregates,227,18950800,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Essex'; 'team']
Notts team aggregates,227,18950800,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Notts'; 'team']
Yorkshire team aggregates,227,18950800,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Yorkshire'; 'team']
Fixture Information,236,18950810,fixture information,Tony Webb minor counties collection,,VERIFIED,0.8,Fixture info found
Birmingham League Division I Table,236,18950810,league information,Tony Webb minor counties collection,,INVALID,0.3,Could not verify in source
Birmingham League Division II Table,236,18950810,league information,Tony Webb minor counties collection,,INVALID,0.3,Could not verify in source
Stourbridge and District Bowling League Table,236,18950810,league information,Tony Webb minor counties collection,,INVALID,0.3,Could not verify in source
Birmingham League first division table,239,18950817,league information,Tony Webb minor counties collection,,INVALID,0.3,Could not verify in source
Birmingham League second division table,239,18950817,league information,Tony Webb minor counties collection,,INVALID,0.3,Could not verify in source
Birmingham League first division table,240,18950817,league information,Tony Webb minor counties collection,,INVALID,0.3,Could not verify in source
Birmingham League second division table,240,18950817,league information,Tony Webb minor counties collection,,INVALID,0.3,Could not verify in source
Wakefield St Michael's YMCA v Royston,245,18950000,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:partial (2/3); t2:direct)
Airedale and Wharfedale League match list,245,18950518,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Airedale'; 'and'; 'Wharfedale'; 'League']
Barkston Ash League match list,245,18950518,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Barkston'; 'Ash'; 'League'; 'match']
North Yorkshire League match list,245,18950518,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['North'; 'Yorkshire'; 'League'; 'match']
Spen Valley League match list,245,18950518,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Spen'; 'Valley'; 'League'; 'match']
Yorkshire Central League match list,245,18950518,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Yorkshire'; 'Central'; 'League'; 'match']
